Denominación social,Precepto legal infringido (vigente en la fecha en que se cometió la infracción),Incumplimiento,Sanción,Medio de defensa,Vigencia,Aclaraciones,Fecha de Cobro
"Banco Azteca, S.A., Institución de Banca Múltiple","Artículo 103, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con divisas y metales preciosos.,"Monto $56,080.00 Fecha de imposición09-04-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,29-04-2019
,,,"$122,068.00",,,,
"Banco Base, S.A., Institución de Banca Múltiple, Grupo Financiero Base","Artículo 229, fracción I, inciso b), de la Circular 3/2012",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $336,450.00 Fecha de imposición11-06-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,16-07-2019
"Banco Base, S.A., Institución de Banca Múltiple, Grupo Financiero Base","Artículo 229, fracción I, inciso b), de la Circular 3/2012",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $350,500.00 Fecha de imposición11-06-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,16-07-2019
,,,"$686,950.00",,,,
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa","Numeral 8.1, primer y séptimo párrafos, de las Reglas de reporto",Falta a las reglas para las operaciones de reporto.,"Monto $53,832.00 Fecha de imposición29-04-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,07-05-2019
,,,"$53,832.00",,,,
"Banco Interacciones, S.A., Institución de Banca Múltiple, Grupo Financiero Interacciones","Requerimientos 7, 10, 12, 17, 21, 22, 23, 24, 26 y 29 de los 31 previstos en el Anexo de la Circular 4/2012.",Falta a las reglas para la realización de Operaciones Derivadas.,"Monto $498,425.38 Fecha de imposición21-02-2018",Recurso de reconsideración,,Esta conducta se considera graveNo es reincidente.,30-05-2019
,,,"$498,425.38",,,,
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte","Regla 3.2, incisos iv), v) y vii) y 5.5 en relación con sus similares 6.1, inciso b) y 6.3 de la Circular 1/2005.",Falta a las Reglas para las operaciones de fideicomiso.,"Monto $47,130.40 Fecha de imposición08-01-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,21-01-2019
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte","Artículo 229, fracción I, incisos a) y b), de la Circular 3/2012.",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $280,400.00 Fecha de imposición21-05-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,11-06-2019
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte",Numerales 5.2 y 5.5 de la Circular 1/2005,Falta a las Reglas para las operaciones de fideicomiso.,"Monto $57,952.00 Fecha de imposición06-06-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,20-06-2019
,,,"$385,482.40",,,,
"Banco Monex, S.A., Institución de Banca Múltiple, Monex Grupo Financiero","Numerales 5.2, primer párrafo, y 7.5, primer párrafo, de la Circular 4/2012",Falta a las reglas para la realización de Operaciones Derivadas.,"Monto $605,517.60 Fecha de imposición24-09-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,17-10-2019
,,,"$605,517.60",,,,
"Banco Ve por Más, S.A., Institución de Banca Múltiple, Grupo Financiero Ve por Más","Artículo 229, fracción I, inciso b), de la Circular 3/2012",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $280,400.00 Fecha de imposición21-06-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,16-07-2019
"Banco Ve por Más, S.A., Institución de Banca Múltiple, Grupo Financiero Ve por Más","Artículo 229, fracción I, inciso b), de la Circular 3/2012",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $292,160.00 Fecha de imposición21-06-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,16-07-2019
,,,"$572,560.00",,,,
"Bankaool, S.A., Institución de Banca Múltiple","Artículo 220, primer párrafo, de la Circular 3/2012.",Falta a la regulación para la posición de riesgo cambiario.,"Monto $56,080.00 Fecha de imposición04-07-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,26-07-2019
,,,"$56,080.00",,,,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Artículo 37, primer párrafo, de la Circular 3/2012",Falta a las disposiciones generales aplicables a las operaciones pasivas,"Monto $53,832.00 Fecha de imposición12-06-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,03-07-2019
,,,"$53,832.00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Crediclub, S.A. de C.V., Sociedad Financiera Popular","Numerales 6, en relación con su similar 4.2, tercer párrafo, inciso i), y 7, primer párrafo, inciso ii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición04-10-2016,Ninguno,27-10-2016,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
"Proyecto Coincidir, S.A. de C.V.","Numeral 6, primer párrafo, inciso d), de la Circular 35/2010.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos de la Ganancia Anual Total (GAT).",Descripción  Amonestación  Fecha de imposición06-04-2017,Ninguno,03-05-2017,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
,,,,,,,
,,,,,,,
"Libertad Servicios Financieros, S.A. de C.V., S.F.P.","Numeral 4.2, tercer párrafo, inciso i), de la Circular 21/2009","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición02-05-2019,Ninguno,27-05-2019,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Caja Morelia Valladolid, S.C. de A.P. de R.L. de C.V.","Numeral 7, primer párrafo, inciso iv), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición19-09-2017,Ninguno,17-10-2017,Esta conducta no se considera graveNo es reincidente.,
"Caja Real del Potosí, S.C. de A.P. de R.L. de C.V","Numeral 5.3 en relación con su similar 4.1.2., de la Circular 35/2010","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos de la Ganancia Anual Total (GAT).",Descripción  Amonestación  Fecha de imposición15-06-2017,Ninguno,10-07-2017,Esta conducta no se considera graveNo es reincidente.,
"Coopdesarrollo, S.C. de A.P. de R.L. de C.V.","Numeral 7, primer párrafo, inciso ii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición28-09-2017,Ninguno,23-10-2017,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
,,,,,,,
,,,,,,,
"Caja Cerro de la Silla, S.C. de A.P. de R.L. de C.V","Numeral 7, primer párrafo, inciso ii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición20-06-2019,Ninguno,15-07-2019,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"ABC Capital, S.A., Institución de Banca Múltiple",Numerales 2.11 y 2.23 de la Circular 22/2010.,Falta a las disposiciones de carácter general que establecen prohibiciones y límites al cobro de comisiones.,Descripción  Amonestación  Fecha de imposición07-10-2016,Ninguno,01-11-2016,Esta conducta no se considera graveNo es reincidente.,
"Banco Azteca, S.A., Institución de Banca Múltiple","Numerales 6, inciso e) y 5.3, de la Circular 35/2010","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos de la Ganancia Anual Total (GAT).",Descripción  Amonestación  Fecha de imposición19-10-2016,Ninguno,14-11-2016,Esta conducta no se considera graveNo es reincidente.,
"Banco Base, S.A., Institución de Banca Múltiple, Grupo Financiero Base","Numeral 7, primer párrafo, inciso ii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición29-11-2016,Ninguno,22-12-2016,Esta conducta no se considera graveNo es reincidente.,
"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero","Numeral 6, primer párrafo, de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición03-10-2016,Ninguno,26-10-2016,Esta conducta no se considera graveNo es reincidente.,
"American Express Bank (México), S.A., Institución de Banca Múltiple","Numerales 2.8, primer párrafo, en relación con su similar 2.6, inciso c) y 3.4, inciso b), primer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $55,580.80 Fecha de imposición04-10-2016",Ninguno,,"Esta conducta no se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",14-10-2016
,,,"$55,580.80",,,,
"Banco del Bajío, S.A., Institución de Banca Múltiple","Numeral 5.3, en relación con sus similares 2, 4.2, segundo párrafo, incisos b) y c), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).","Monto $199,456.00 Fecha de imposición30-11-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,21-12-2016
,,,"$199,456.00",,,,
"Banco Nacional de México, S.A., Integrante del Grupo Financiero Banamex","Numeral 5.1, inciso f), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).","Monto $207,232.00 Fecha de imposición10-11-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,22-11-2016
,,,"$207,232.00",,,,
"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero","Numeral 5.3, de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).","Monto $199,456.00 Fecha de imposición03-10-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,25-10-2016
,,,"$199,456.00",,,,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Numeral 2.21, primer párrafo, en relación con el segundo párrafo, inciso b), de la Circular 22/2010",Falta a las disposiciones de carácter general que establecen prohibiciones y límites al cobro de comisiones.,"Monto $239,280.00 Fecha de imposición18-10-2013",Recurso de revisión,,Esta conducta no se considera graveNo es reincidente.,27-07-2016
,,,"$239,280.00",,,,
"HSBC México, S.A., Institución de Banca Múltiple, Grupo Financiero HSBC","Numerales 2.8, primer párrafo, en relación con su similar 2.6, inciso c) y 3.4, inciso a), primer párrafo, e inciso b), primer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $47,376.80 Fecha de imposición26-09-2016",Ninguno,,Esta conducta no se considera grave  Esta conducta no se considera graveNo es reincidente.,19-10-2016
,,,"$47,376.80",,,,
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numerales 2.7, primer párrafo, 2.8, primer párrafo, 3.1, último párrafo, 3.4, inciso a), primer párrafo, e inciso b), primer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $82,563.20 Fecha de imposición03-10-2016",Ninguno,,"Esta conducta no se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",27-10-2016
,,,"$82,563.20",,,,
"ABC Capital, S.A., Institución de Banca Múltiple","Numeral 7, primer párrafo, inciso iii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición29-12-2016,Ninguno,23-01-2017,Esta conducta no se considera graveNo es reincidente.,
"ABC Capital, S.A., Institución de Banca Múltiple","Numeral 2, cuarto párrafo, de la Circular 22/2008.",Falta a las disposiciones de carácter general en materia de acreditación de pagos.,Descripción  Amonestación  Fecha de imposición08-03-2017,Ninguno,31-03-2017,Esta conducta no se considera graveNo es reincidente.,
"ABC Capital, S.A., Institución de Banca Múltiple","Numeral 6, primer párrafo, inciso d), de la Circular 35/2010","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos de la Ganancia Anual Total (GAT).",Descripción  Amonestación  Fecha de imposición31-05-2017,Ninguno,23-06-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Azteca, S.A., Institución de Banca Múltiple","Numeral 6, primer párrafo, inciso d), de la Circular 35/2010","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos de la Ganancia Anual Total (GAT).",Descripción  Amonestación  Fecha de imposición30-12-2016,Ninguno,24-01-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Azteca, S.A., Institución de Banca Múltiple","Numeral 7, primer párrafo, incisos ii), iii) y iv) de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición03-07-2017,Ninguno,26-07-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Inmobiliario Mexicano, S.A., Institución de Banca Múltiple","Numeral 2, cuarto párrafo, de la Circular 22/2008",Falta a las disposiciones de carácter general en materia de acreditación de pagos.,Descripción  Amonestación  Fecha de imposición16-03-2017,Ninguno,11-04-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Monex, S.A., Institución de Banca Múltiple, Monex Grupo Financiero","Numeral 7, primer párrafo, inciso ii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición24-07-2017,Ninguno,16-08-2017,Esta conducta no se considera graveNo es reincidente.,
"Bankaool, S.A., Institución de Banca Múltiple","Numeral 6, primer párrafo, inciso d), de la Circular 35/2010","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos de la Ganancia Anual Total (GAT).",Descripción  Amonestación  Fecha de imposición13-11-2017,Ninguno,07-12-2017,Esta conducta no se considera graveNo es reincidente.,
"Bansi, S.A., Institución de Banca Múltiple","Numeral 7, primer párrafo, inciso ii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición26-07-2017,Ninguno,18-08-2017,Esta conducta no se considera graveNo es reincidente.,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Numeral 7, primer párrafo, inciso ii), de la Circula 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición08-03-2017,Ninguno,03-04-2017,Esta conducta no se considera graveNo es reincidente.,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Numeral 5.3, en relación con sus similares 2, 4.1 y 4.2, tercer párrafo, inciso i); numeral 6, en relación con su similar 4.2, segundo párrafo, inciso c), tercer párrafo, inciso i), y numeral 7, primer párrafo, inciso ii), de la Circular 21/2009, vigente al momento de cometerse la conducta infractor","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición08-03-2017,Ninguno,03-04-2017,Esta conducta no se considera graveNo es reincidente.,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Numeral 7.2, primer párrafo, inciso a), de la Circular 22/2010.",Falta a las disposiciones de carácter general que establecen prohibiciones y límites al cobro de comisiones.,Descripción  Amonestación  Fecha de imposición09-05-2017,Ninguno,31-05-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Base, S.A., Institución de Banca Múltiple, Grupo Financiero Base","Artículo 6, primer y tercer párrafos, de la LTOSF y el numeral 2.1.2, primer párrafo, de la Circular 36/2010.",Falta a las Disposiciones de carácter general en materia de registro de Comisiones.,"Monto $54,648.80 Fecha de imposición21-07-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,10-08-2017
,,,"$54,648.80",,,,
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa","Numeral 2.8, primer párrafo, en relación con su similar 2.6, primer párrafo, inciso c), de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $31,430.40 Fecha de imposición27-02-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,07-03-2017
,,,"$31,430.40",,,,
"Banco Invex, S.A., Institución de Banca Múltiple, Invex Grupo Financiero","Numeral 2.10, segundo párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $51,983.04 Fecha de imposición29-11-2016",Recurso de revisión,,Esta conducta no se considera graveNo es reincidente.,21-07-2017
,,,"$51,983.04",,,,
"Banco Monex, S.A., Institución de Banca Múltiple, Monex Grupo Financiero","Numeral 5.3, en relación con sus similares 2, y 4.2, segundo párrafo, inciso b), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).","Monto $207,232.00 Fecha de imposición24-07-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,16-08-2017
,,,"$207,232.00",,,,
"Banco Nacional de México, S.A., Integrante del Grupo Financiero Banamex",Artículo 66 de la Circular 3/2012,Falta a la Regulación para la domiciliación en cuentas de Depósito bancario de dinero.,"Monto $22,999.00 Fecha de imposición27-02-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,29-03-2017
"Banco Nacional de México, S.A., Integrante del Grupo Financiero Banamex","Artículo 70, segundo párrafo, de la Circular 3/2012",Falta a la Regulación para la domiciliación en cuentas de Depósito bancario de dinero.,"Monto $20,187.00 Fecha de imposición27-02-2017",Ninguno,,"Esta conducta no se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",29-03-2017
,,,"$43,186.00",,,,
"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander","El artículo 6, primer y tercer párrafos, de la LTOSF, y el numeral 2.1.2, primer párrafo, de la Circular 36/2010",Falta a las Disposiciones de carácter general en materia de registro de Comisiones.,"Monto $68,754.40 Fecha de imposición13-11-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,06-12-2017
,,,"$68,754.40",,,,
"Banco Ve por Más, S.A., Institución de Banca Múltiple, Grupo Financiero Ve por Más",Numerales 2 y 5.3 de la Circular 35/2010,"Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos de la Ganancia Anual Total (GAT).","Monto $224,320.00 Fecha de imposición13-11-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,01-12-2017
,,,"$224,320.00",,,,
"CIBanco, S.A., Institución de Banca Múltiple","Numeral 5.3, en relación con su similar 4.2, segundo párrafo, inciso c), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).","Monto $215,328.00 Fecha de imposición16-03-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,06-04-2017
,,,"$215,328.00",,,,
"Banco Azteca, S.A., Institución de Banca Múltiple","Numerales 2.2, segundo párrafo y 3, primer párrafo, de la Circular 16/2007.",Falta a las disposiciones de carácter general en materia de pagos anticipados.,Descripción  Amonestación  Fecha de imposición01-03-2018,Ninguno,27-03-2018,Esta conducta no se considera graveNo es reincidente.,
"Banco del Bajío, S.A., Institución de Banca Múltiple","Numeral 2.3, inciso i), de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,Descripción  Amonestación  Fecha de imposición06-07-2018,Ninguno,31-07-2018,Esta conducta no se considera graveNo es reincidente.,
"Banco Ve por Más, S.A., Institución de Banca Múltiple, Grupo Financiero Ve por Más","Numeral 2.31, fracción II, de la Circular 22/2010",Falta a las disposiciones de carácter general que establecen prohibiciones y límites al cobro de comisiones.,Descripción  Amonestación  Fecha de imposición18-05-2018,Ninguno,12-06-2018,Esta conducta no se considera graveNo es reincidente.,
"BanCoppel, S.A., Institución de Banca Múltiple",Artículo 76 primer y segundo párrafos de la Circular 3/2012.,"Falta a la regulación para la Transferencia de salario, pensiones y otras prestaciones de carácter laboral.",Descripción  Amonestación.  Fecha de imposición08-03-2018,Ninguno,05-04-2018,Esta conducta no se considera graveNo es reincidente.,
"BanCoppel, S.A., Institución de Banca Múltiple","Numeral 5.1, segundo párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,Descripción  Amonestación  Fecha de imposición21-03-2018,Ninguno,17-04-2018,Esta conducta no se considera graveNo es reincidente.,
"Bankaool, S.A., Institución de Banca Múltiple","Numeral 7, primer párrafo, incisos ii) y iii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición14-06-2018,Ninguno,09-07-2018,Esta conducta no se considera graveNo es reincidente.,
"Fundación Dondé Banco, S.A., Institución de Banca Múltiple","Numeral 7, primer párrafo, incisos ii) y iv), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición04-05-2018,Ninguno,29-05-2018,Esta conducta no se considera graveNo es reincidente.,
"HSBC México, S.A., Institución de Banca Múltiple, Grupo Financiero HSBC","Numeral 5.1, segundo párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,Descripción  Amonestación  Fecha de imposición01-03-2018,Ninguno,27-03-2018,Esta conducta no se considera graveNo es reincidente.,
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numeral 5.3, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,Descripción  Amonestación  Fecha de imposición22-03-2018,Ninguno,18-04-2018,Esta conducta no se considera graveNo es reincidente.,
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numeral 2.3, inciso i), de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,Descripción  Amonestación  Fecha de imposición26-04-2018,Ninguno,22-05-2018,Esta conducta no se considera graveNo es reincidente.,
"Banco del Bajío, S.A., Institución de Banca Múltiple","Numerales 2.8, primer párrafo, en relación con su similar 2.6, inciso c); 3.4, inciso b), primer párrafo; 2.7, primer párrafo, en relación con su similar 2.6, inciso b), y 3.4 inciso a), primer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $22,584.80 Fecha de imposición06-07-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,08-08-2018
"Banco del Bajío, S.A., Institución de Banca Múltiple","Numeral 4.2, en relación con su similar 4.1, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $24,985.60 Fecha de imposición06-07-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,08-08-2018
"Banco del Bajío, S.A., Institución de Banca Múltiple","Numeral 2.8, primer párrafo, en relación con su similar 2.6, inciso c), de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $33,288.80 Fecha de imposición06-07-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,08-08-2018
,,,"$80,859.20",,,,
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte","Numeral 2.8, primer párrafo, en relación con su similar 2.6, primer párrafo, inciso c), de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $10,361.60 Fecha de imposición18-09-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,02-10-2018
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte","Numeral 4.2, en relación con su similar 4.1 de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $20,772.00 Fecha de imposición18-09-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,02-10-2018
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte","Numeral 3.4, inciso a), primer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $29,173.60 Fecha de imposición18-09-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,02-10-2018
,,,"$60,307.20",,,,
"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero","Numeral 3.6, último párrafo, en relación con los párrafos primero y segundo del mismo numeral, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $13,972.80 Fecha de imposición16-05-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,05-06-2018
,,,"$13,972.80",,,,
"BanCoppel, S.A., Institución de Banca Múltiple","Numeral 3.6, último párrafo, en relación con los párrafos primero y segundo del mismo numeral, de la Circular 34/2010",Falta a las Reglas de Tarjetas de Crédito.,"Monto $28,292.00 Fecha de imposición21-03-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,28-03-2018
,,,"$28,292.00",,,,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Numeral 3.6, último párrafo, en relación con los párrafos primero, segundo y tercero de dicho numeral, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $71,519.20 Fecha de imposición27-12-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,12-01-2018
,,,"$71,519.20",,,,
"HSBC México, S.A., Institución de Banca Múltiple, Grupo Financiero HSBC","Artículo 68, primer párrafo, de la Circular 3/2012.",Falta a la Regulación para la domiciliación en cuentas de Depósito bancario de dinero.,"Monto $41,890.40 Fecha de imposición01-03-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,09-03-2018
,,,"$41,890.40",,,,
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numerales 5.2, tercer párrafo y 5.42, tercer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $32,059.20 Fecha de imposición22-03-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,12-04-2018
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numeral 2.7, primer párrafo, en relación con su similar 2.6, inciso b), de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $12,298.40 Fecha de imposición26-04-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,22-05-2018
